aspect,svm_acc,svm_precision_macro,svm_recall_macro,svm_f1_macro,svm_f1_weighted,lr_acc,lr_precision_macro,lr_recall_macro,lr_f1_macro,lr_f1_weighted,nb_acc,nb_precision_macro,nb_recall_macro,nb_f1_macro,nb_f1_weighted,best_model,best_f1_macro,best_f1_weighted,best_acc
service_quality,0.9082167832167832,0.6707069137977872,0.6714840568346283,0.6710668270589614,0.9057333680859418,0.9042832167832168,0.6694431181520624,0.6633457627742902,0.6661067797452707,0.9015692972779271,0.8723776223776224,0.6572250096491321,0.6393900454866064,0.6472509331363927,0.8694264765510037,svm,0.6710668270589614,0.9057333680859418,0.9082167832167832
food_quality,0.9090909090909091,0.701206560671149,0.6242779167302044,0.6403228757425297,0.9029313293036568,0.902534965034965,0.6497817575932616,0.5866950329409756,0.608632085568335,0.893022514173499,0.8273601398601399,0.4137161004522512,0.443547271196799,0.4281056121646862,0.7989177646493477,svm,0.6403228757425297,0.9029313293036568,0.9090909090909091
food_price,0.9781468531468531,0.6461960528276435,0.5128789517498148,0.5611839315122773,0.9749931627567847,0.9768356643356644,0.7029033687943262,0.44761534881586795,0.5209935977439041,0.9714706651894228,0.9663461538461539,0.24158653846153846,0.25,0.24572127139364303,0.9498072221177355,svm,0.5611839315122773,0.9749931627567847,0.9781468531468531
restaurant_space,0.9152097902097902,0.6147864474514935,0.5281652450661679,0.5590174283369511,0.9096977807070242,0.916083916083916,0.6536758406511031,0.49162573240113006,0.5359199237874489,0.9066177855338877,0.8623251748251748,0.43425179211469533,0.29493175315134174,0.30675615949122276,0.8153207375736607,svm,0.5590174283369511,0.9096977807070242,0.9152097902097902
customer_experience,0.8496503496503497,0.6387830782693527,0.515453411496577,0.5588878671862989,0.8331848073976975,0.8601398601398601,0.7160485377873337,0.4852856276417427,0.5417555421521518,0.8340024947945616,0.7941433566433567,0.39852617685877695,0.2594635580247091,0.2397768317853457,0.7087963877582686,svm,0.5588878671862989,0.8331848073976975,0.8496503496503497
service_order,0.9226398601398601,0.5157303662205623,0.37814330482937125,0.41308108727098697,0.909698678506563,0.9230769230769231,0.5560095431319507,0.3411386285744382,0.37273259853485385,0.9040886255673409,0.9156468531468531,0.47889326334208226,0.25393700787401574,0.2467334406106665,0.8761761907702895,svm,0.41308108727098697,0.909698678506563,0.9226398601398601
price_discount,0.9812062937062938,0.35855089951733216,0.28277728351126924,0.2989858073779545,0.9749739422825905,0.9825174825174825,0.24562937062937062,0.25,0.24779541446208111,0.9738533071866405,0.9825174825174825,0.24562937062937062,0.25,0.24779541446208111,0.9738533071866405,svm,0.2989858073779545,0.9749739422825905,0.9812062937062938
